income_status,development_status,parent,continent,location,iso_code,date,population,first_dose,last_dose,booster_dose,partially_vaccinated,total_vaccinations,total_vaccinations_per_million,partially_vaccinated_per_million,fully_vaccinated_per_million,first_dose_per_million,last_dose_per_million,booster_dose_per_million
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-07,2872933,786861,675007,98717,111854,1560585,543202.713,38933.73079,234953.9652,273887.696,234953.9652,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-08,2872933,976263,817241,98717,159022,1892221,658637.3577,55351.79553,284462.2551,339814.0507,284462.2551,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-09,2872933,1067540,955166,98717,112374,2121423,738417.1507,39114.73049,332470.6841,371585.4146,332470.6841,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-12,2872933,1126768,1007258,0,119510,2134026,742803.9568,41598.60324,350602.6768,392201.28,350602.6768,0
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-10,2872933,1135012,1040097,98717,94915,2273826,791465.0289,33037.66569,362033.1557,395070.8214,362033.1557,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-11,2872933,1200957,1119794,181206,81163,2501957,870872.0322,28250.91988,389773.7956,418024.7155,389773.7956,63073.52103
Middle income,Economy in transition,world,Europe,Albania,ALB,2022-01,2866374,1266073,1164184,213457,101889,2643714,922319.9764,35546.30345,406152.163,441698.4664,406152.163,74469.34699
Middle income,Economy in transition,world,Europe,Albania,ALB,2022-02,2866374,1288392,1205055,246300,83337,2739747,955823.2806,29074.01477,420410.9443,449484.959,420410.9443,85927.37724
Middle income,Economy in transition,world,Europe,Albania,ALB,2022-03,2866374,1300945,1224981,271203,75964,2797129,975842.3011,26501.77541,427362.5842,453864.3596,427362.5842,94615.35724
Middle income,Economy in transition,world,Europe,Albania,ALB,2022-04,2866374,1311910,1230809,295511,81101,2838230,990181.3232,28293.93513,429395.8151,457689.7502,429395.8151,103095.7579
Middle income,Economy in transition,world,Europe,Albania,ALB,2022-05,2866374,1316896,1239494,310165,77402,2866555,1000063.146,27003.45454,432425.7756,459429.2301,432425.7756,108208.1403
Middle income,Developing,world,Africa,Algeria,DZA,2021-08,44616624,5815039,4174623,0,1640416,9989662,223899.9975,36766.92347,93566.53699,130333.4605,93566.53699,0
Middle income,Developing,world,Africa,Algeria,DZA,2021-09,44616624,6118307,4272443,0,1845864,10390750,232889.6512,41371.66452,95758.99333,137130.6578,95758.99333,0
Middle income,Developing,world,Africa,Algeria,DZA,2021-10,44616624,6426339,4906038,0,1520301,11332377,253994.4977,34074.7655,109959.8661,144034.6316,109959.8661,0
Middle income,Developing,world,Africa,Algeria,DZA,2021-11,44616624,6875003,5391232,26825,1483771,12293060,275526.4495,33256.01238,120834.6019,154090.6143,120834.6019,601.2332982
Middle income,Developing,world,Africa,Algeria,DZA,2021-12,44616624,7060737,5609040,0,1451697,12669777,283969.8719,32537.13235,125716.3698,158253.5021,125716.3698,0
Middle income,Developing,world,Africa,Algeria,DZA,2022-01,45350148,7247787,5796432,0,1451355,13044219,287633.4384,32003.31342,127815.0625,159818.3759,127815.0625,0
Middle income,Developing,world,Africa,Algeria,DZA,2022-03,45350148,7461932,6110712,0,1351220,13572644,299285.5503,29795.27211,134745.1391,164540.4112,134745.1391,0
Middle income,Developing,world,Africa,Algeria,DZA,2022-04,45350148,7840131,6481186,514063,1358945,14835380,327129.6932,29965.61334,142914.3296,172879.943,142914.3296,11335.42056
Middle income,Developing,world,Africa,Algeria,DZA,2022-05,45350148,7840131,6481186,514063,1358945,14835380,327129.6932,29965.61334,142914.3296,172879.943,142914.3296,11335.42056
Middle income,Developing,world,Africa,Algeria,DZA,2022-06,45350148,7840131,6481186,514063,1358945,14835380,327129.6932,29965.61334,142914.3296,172879.943,142914.3296,11335.42056
Middle income,Developing,world,Oceania,Samoa,WSM,2021-04,55100,20201,15735,0,4466,35936,652196.0073,81052.63158,285571.6878,366624.3194,285571.6878,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-05,55100,23188,19083,0,4105,42271,767168.784,74500.90744,346333.9383,420834.8457,346333.9383,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-06,55100,25186,20739,0,4447,45925,833484.5735,80707.80399,376388.3848,457096.1887,376388.3848,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-07,55100,28612,23448,0,5164,52060,944827.5862,93720.50817,425553.539,519274.0472,425553.539,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-08,55100,29993,24977,0,5016,54970,997640.6534,91034.48276,453303.0853,544337.5681,453303.0853,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-09,55100,32439,27465,0,4974,59904,1087186.933,90272.2323,498457.3503,588729.5826,498457.3503,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-10,55100,35041,30682,0,4359,65723,1192794.918,79110.7078,556842.1053,635952.8131,556842.1053,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-11,55100,35382,31251,0,4131,66633,1209310.345,74972.77677,567168.784,642141.5608,567168.784,0
Middle income,Developing,world,Oceania,Samoa,WSM,2021-12,55100,38833,31626,0,7207,70459,1278747.731,130798.5481,573974.5917,704773.1397,573974.5917,0
Middle income,Developing,world,Oceania,Samoa,WSM,2022-01,55030,41820,36804,4923,5016,83547,1518208.25,91150.28166,668798.837,759949.1187,668798.837,89460.29438
Middle income,Developing,world,Oceania,Samoa,WSM,2022-02,55030,42212,37805,0,4407,80017,1454061.421,80083.59077,686988.9151,767072.5059,686988.9151,0
Middle income,Developing,world,Oceania,Samoa,WSM,2022-03,55030,43637,39137,0,4500,82774,1504161.367,81773.57805,711193.8942,792967.4723,711193.8942,0
Middle income,Developing,world,Oceania,Samoa,WSM,2022-04,55030,44240,40593,0,3647,84833,1541577.321,66272.94203,737652.1897,803925.1317,737652.1897,0
Middle income,Developing,world,Oceania,Samoa,WSM,2022-05,55030,44456,40945,0,3511,85401,1551898.964,63801.56278,744048.7007,807850.2635,744048.7007,0
High income,Developed economy,world,Europe,Andorra,AND,2021-02,77354,1582,3094,18485,-1512,23161,299415.6734,-19546.5005,39997.93159,20451.43108,39997.93159,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-03,77354,8626,5944,18485,2682,33055,427321.1469,34671.76875,76841.53373,111513.3025,76841.53373,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-04,77354,24454,6565,18485,17889,49504,639966.9054,231261.4732,84869.56072,316131.0339,84869.56072,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-05,77354,30810,12801,18485,18009,62096,802750.989,232812.7828,165485.9477,398298.7305,165485.9477,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-06,77354,44312,26879,18485,17433,89676,1159293.637,225366.4969,347480.4147,572846.9116,347480.4147,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-07,77354,51022,37430,18485,13592,106937,1382436.59,175711.6633,483879.3081,659590.9714,483879.3081,238966.3107
High income,Developed economy,world,Europe,Andorra,AND,2021-08,77354,52046,45364,18581,6682,115991,1499482.897,86382.08755,586446.7254,672828.813,586446.7254,240207.3584
High income,Developed economy,world,Europe,Andorra,AND,2021-09,77354,53286,48942,18741,4344,120969,1563836.389,56157.40621,632701.6056,688859.0118,632701.6056,242275.7711
High income,Developed economy,world,Europe,Andorra,AND,2021-10,77354,53902,50168,18786,3734,122856,1588230.731,48271.58259,648550.8183,696822.4009,648550.8183,242857.5122
High income,Developed economy,world,Europe,Andorra,AND,2021-11,77354,54998,50966,24323,4032,130287,1684295.576,52124.00134,658867.0269,710991.0283,658867.0269,314437.521
High income,Developed economy,world,Europe,Andorra,AND,2022-01,77460,56419,51987,39393,4432,147799,1908068.681,57216.62794,671146.3981,728363.0261,671146.3981,508559.2564
High income,Developed economy,world,Europe,Andorra,AND,2022-02,77460,56442,52136,40712,4306,149290,1927317.325,55589.98193,673069.9716,728659.9535,673069.9716,525587.3999
High income,Developed economy,world,Europe,Andorra,AND,2022-03,77460,56474,52176,40992,4298,149642,1931861.606,55486.70281,673586.3672,729073.07,673586.3672,529202.1689
High income,Developed economy,world,Europe,Andorra,AND,2022-04,77460,56502,52206,41393,4296,150101,1937787.245,55460.88304,673973.6638,729434.5469,673973.6638,534379.0343
High income,Developed economy,world,Europe,Andorra,AND,2022-05,77460,56508,52229,41742,4279,150479,1942667.183,55241.41492,674270.5913,729512.0062,674270.5913,538884.5856
High income,Developed economy,world,Europe,Andorra,AND,2021-12,77354,56628,50551,0,6077,107179,1385565.065,78560.90183,653502.0813,732062.9832,653502.0813,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-04,33933610,586377,50828,0,535549,637205,18777.99032,15782.25836,1497.86598,17280.12434,1497.86598,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-05,33933610,713239,313972,0,399267,1027211,30271.1972,11766.12214,9252.537528,21018.65967,9252.537528,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-06,33933610,951772,561688,0,390084,1513460,44600.61868,11495.50549,16552.5566,28048.06208,16552.5566,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-07,33933610,969946,710113,0,259833,1680059,49510.1759,7657.09867,20926.53861,28583.63728,20926.53861,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-08,33933610,1510880,958453,0,552427,2469333,72769.53439,16279.64133,28244.94653,44524.58786,28244.94653,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-09,33933610,2402373,1070697,0,1331676,3473070,102348.9691,39243.57002,31552.69952,70796.26954,31552.69952,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-10,33933610,5269623,1977343,0,3292280,7246966,213563.0721,97021.21289,58270.92962,155292.1425,58270.92962,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-11,33933610,6737721,3280340,0,3457381,10018061,295225.3238,101886.6251,96669.34936,198555.9744,96669.34936,0
Middle income,Least developed,world,Africa,Angola,AGO,2021-12,33933610,7453030,4029885,0,3423145,11482915,338393.5573,100877.7139,118757.9217,219635.6356,118757.9217,0
Middle income,Least developed,world,Africa,Angola,AGO,2022-01,35027343,9713546,4731866,143023,4981680,14588435,416487.057,142222.6059,135090.6348,277313.2407,135090.6348,4083.18153
Middle income,Least developed,world,Africa,Angola,AGO,2022-03,35027343,11235059,5993792,0,5241267,17228851,491868.6239,149633.5877,171117.5181,320751.1058,171117.5181,0
Middle income,Least developed,world,Africa,Angola,AGO,2022-04,35027343,12059919,6327907,369899,5732012,18757725,535516.6391,163643.9281,180656.2091,344300.1372,180656.2091,10560.29285
Middle income,Least developed,world,Africa,Angola,AGO,2022-05,35027343,12386998,6593739,444914,5793259,19425651,554585.3421,165392.4764,188245.4801,353637.9565,188245.4801,12701.90548
Middle income,Least developed,world,Africa,Angola,AGO,2022-06,35027343,42756004,7060684,681695,35695320,50498383,1441684.658,1019070.159,201576.3514,1220646.51,201576.3514,19461.79589
High income,Developing,world,North America,Anguilla,AIA,2021-07,15117,9473,8965,0,508,18438,1219686.446,33604.55117,593040.9473,626645.4984,593040.9473,0
High income,Developing,world,North America,Anguilla,AIA,2021-06,15117,9493,8961,0,532,18454,1220744.857,35192.16776,592776.3445,627968.5123,592776.3445,0
High income,Developing,world,North America,Anguilla,AIA,2021-08,15117,9495,8999,0,496,18494,1223390.884,32810.74287,595290.0708,628100.8137,595290.0708,0
High income,Developing,world,North America,Anguilla,AIA,2021-09,15117,9548,9158,0,390,18706,1237414.831,25798.7696,605808.0307,631606.8003,605808.0307,0
High income,Developing,world,North America,Anguilla,AIA,2021-10,15117,9548,9158,0,390,18706,1237414.831,25798.7696,605808.0307,631606.8003,605808.0307,0
High income,Developing,world,North America,Anguilla,AIA,2021-11,15117,10021,9162,663,859,19846,1312826.619,56823.4438,606072.6335,662896.0773,606072.6335,43857.90832
High income,Developing,world,North America,Anguilla,AIA,2021-12,15117,10126,9230,0,896,19356,1280412.78,59271.01938,610570.8805,669841.8998,610570.8805,0
High income,Developing,world,North America,Anguilla,AIA,2022-01,15230,10212,9350,2051,862,21613,1419107.026,56598.81812,613919.8949,670518.7131,613919.8949,134668.4176
High income,Developing,world,North America,Anguilla,AIA,2022-02,15230,10572,9624,2517,948,22713,1491332.896,62245.56796,631910.7026,694156.2705,631910.7026,165265.9225
High income,Developing,world,North America,Anguilla,AIA,2022-03,15230,10623,9874,2483,749,22980,1508864.084,49179.25148,648325.673,697504.9245,648325.673,163033.4865
High income,Developing,world,North America,Anguilla,AIA,2022-04,15230,10675,9955,2754,720,23384,1535390.676,47275.1149,653644.1234,700919.2383,653644.1234,180827.3145
High income,Developing,world,North America,Anguilla,AIA,2022-05,15230,10760,10080,2865,680,23705,1556467.498,44648.71963,661851.6087,706500.3283,661851.6087,188115.5614
High income,Developing,world,North America,Antigua and Barbuda,ATG,2021-05,98731,34884,23877,0,11007,58761,595162.6136,111484.7414,241838.9361,353323.6775,241838.9361,0
High income,Developing,world,North America,Antigua and Barbuda,ATG,2021-07,98731,38592,30790,0,7802,69382,702737.7419,79022.79932,311857.4713,390880.2706,311857.4713,0
High income,Developing,world,North America,Antigua and Barbuda,ATG,2021-08,98731,40525,33385,0,7140,73910,748599.7306,72317.71176,338141.0094,410458.7212,338141.0094,0
High income,Developing,world,North America,Antigua and Barbuda,ATG,2021-12,98731,60828,60298,0,530,121126,1226828.453,5368.121461,610730.1658,616098.2873,610730.1658,0
Middle income,Developing,world,South America,Argentina,ARG,2021-03,45605826,6787508,901137,0,5886371,7688645,168589.0965,129070.5929,19759.25181,148829.8447,19759.25181,0
Middle income,Developing,world,South America,Argentina,ARG,2021-04,45605826,9476406,2780891,0,6695515,12257297,268766.0344,146812.712,60976.66118,207789.3732,60976.66118,0
Middle income,Developing,world,South America,Argentina,ARG,2021-05,45605826,9667003,2830075,0,6836928,12497078,274023.7179,149913.4782,62055.11989,211968.598,62055.11989,0
Middle income,Developing,world,South America,Argentina,ARG,2021-06,45605826,16821968,4085753,0,12736215,20907721,458444.0812,279267.2805,89588.40039,368855.6809,89588.40039,0
Middle income,Developing,world,South America,Argentina,ARG,2021-07,45605826,25113472,7074351,0,18039121,32187823,705783.1383,395544.2228,155119.4578,550663.6806,155119.4578,0
Middle income,Developing,world,South America,Argentina,ARG,2021-08,45605826,28323823,15197800,0,13126023,43521623,954299.6327,287814.6095,333242.5116,621057.1211,333242.5116,0
Middle income,Developing,world,South America,Argentina,ARG,2021-10,45605826,34762610,26228098,1097,8534512,60991805,1337368.717,187136.4417,575104.1106,762240.5523,575104.1106,24.05394434
Middle income,Developing,world,South America,Argentina,ARG,2021-11,45605826,37094323,30164978,602617,6929345,67861918,1488009.843,151939.9079,661428.1693,813368.0771,661428.1693,13213.59688
Middle income,Developing,world,South America,Argentina,ARG,2021-12,45605826,38633880,33243764,3431827,5390116,75309471,1651312.51,118189.198,728936.781,847125.979,728936.781,75249.74989
Middle income,Developing,world,South America,Argentina,ARG,2022-01,46010234,40138300,35304914,10312525,4833386,85755739,1863840.532,105050.2373,767327.4168,872377.6541,767327.4168,224135.4608
Middle income,Developing,world,South America,Argentina,ARG,2022-02,46010234,40757705,36522109,14056825,4235596,91336639,1985137.459,92057.69308,793782.292,885839.9851,793782.292,305515.1817
Middle income,Developing,world,South America,Argentina,ARG,2022-03,46010234,40962105,37045241,15317511,3916864,93324857,2028349.975,85130.27776,805152.1972,890282.475,805152.1972,332915.3031
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-02,2968127,142824,206544,25776,-63720,375144,126390.8182,-21468.08408,69587.31887,48119.23479,69587.31887,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-03,2968127,142824,206544,25776,-63720,375144,126390.8182,-21468.08408,69587.31887,48119.23479,69587.31887,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-04,2968127,142824,206544,25776,-63720,375144,126390.8182,-21468.08408,69587.31887,48119.23479,69587.31887,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-05,2968127,142824,206544,25776,-63720,375144,126390.8182,-21468.08408,69587.31887,48119.23479,69587.31887,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-06,2968127,209315,227345,25776,-18030,462436,155800.611,-6074.537916,76595.44218,70520.90426,76595.44218,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-07,2968127,263109,259276,25776,3833,548161,184682.4614,1291.38679,87353.40503,88644.79182,87353.40503,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-08,2968127,337084,315706,25776,21378,678566,228617.576,7202.521995,106365.3947,113567.9167,106365.3947,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-09,2968127,494772,366064,25776,128708,886612,298710.9379,43363.3736,123331.6499,166695.0235,123331.6499,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-10,2968127,722184,459040,25776,263144,1207000,406653.7584,88656.58376,154656.4551,243313.0388,154656.4551,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-12,2968127,883048,578699,0,304349,1461747,492481.2853,102539.076,194971.1047,297510.1807,194971.1047,0
Middle income,Economy in transition,world,Asia,Armenia,ARM,2021-11,2968127,997145,724570,25776,272575,1747491,588752.0985,91834.00845,244116.9128,335950.9212,244116.9128,8684.264521
Middle income,Economy in transition,world,Asia,Armenia,ARM,2022-01,2971966,1067235,854459,15704,212776,1937398,651891.0378,71594.35875,287506.3174,359100.6761,287506.3174,5284.044299
Middle income,Economy in transition,world,Asia,Armenia,ARM,2022-02,2971966,1108213,934299,28892,173914,2071404,696981.0556,58518.16609,314370.6893,372888.8554,314370.6893,9721.510946
Middle income,Economy in transition,world,Asia,Armenia,ARM,2022-03,2971966,1128072,980827,39849,147245,2148748,723005.5795,49544.64486,330026.3193,379570.9641,330026.3193,13408.29606
Middle income,Economy in transition,world,Asia,Armenia,ARM,2022-04,2971966,1129504,985976,40566,143528,2156046,725461.193,48293.9576,331758.8425,380052.8001,331758.8425,13649.5505
Middle income,Economy in transition,world,Asia,Armenia,ARM,2022-05,2971966,1129669,986533,40725,143136,2156927,725757.6298,48162.05838,331946.2605,380108.3189,331946.2605,13703.05044
High income,Developed economy,world,Oceania,Australia,AUS,2021-03,25788215,0,0,0,0,0,0,0,0,0,0,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-04,25788215,2544261,387449,0,2156812,2931710,113684.0995,83635.56764,15024.26593,98659.83357,15024.26593,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-05,25788215,5897103,1419968,0,4477135,7317071,283737.0093,173611.6672,55062.67107,228674.3383,55062.67107,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-06,25788215,8025272,3544484,0,4480788,11569756,448645.0885,173753.321,137445.8837,311199.2048,137445.8837,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-07,25788215,10359796,5815832,0,4543964,16175628,627248.8422,176203.1222,225522.86,401725.9822,225522.86,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-08,25788215,15811951,10840368,0,4971583,26652319,1033507.709,192785.0764,420361.3162,613146.3926,420361.3162,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-09,25788215,18066911,15561757,0,2505154,33628668,1304032.404,97143.36568,603444.5191,700587.8848,603444.5191,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-10,25788215,19029312,16469355,0,2559957,35498667,1376546.108,99268.48369,638638.8123,737907.296,638638.8123,0
High income,Developed economy,world,Oceania,Australia,AUS,2021-11,25788215,19138657,18072831,465726,1065826,37677214,1461024.503,41329.96409,700817.447,742147.4111,700817.447,18059.64469
High income,Developed economy,world,Oceania,Australia,AUS,2021-12,25788215,19476470,18874054,2523240,602416,40873764,1584978.41,23360.12787,731886.794,755246.9219,731886.794,97844.69379
High income,Developed economy,world,Oceania,Australia,AUS,2022-01,26068792,19736042,19289344,0,446698,39025386,1497015.512,17135.3548,739940.0785,757075.4333,739940.0785,0
High income,Developed economy,world,Oceania,Australia,AUS,2022-02,26068792,19889508,19511350,11569132,378158,50969990,1955211.043,14506.1574,748456.2384,762962.3958,748456.2384,443792.4089
High income,Developed economy,world,Oceania,Australia,AUS,2022-03,26068792,19989583,19646610,12937024,342973,52573217,2016710.901,13156.45926,753644.8179,766801.2772,753644.8179,496264.8058
High income,Developed economy,world,Oceania,Australia,AUS,2022-04,26068792,20038737,19706155,13437713,332582,53182605,2040087.051,12757.86005,755928.9667,768686.8268,755928.9667,515471.2577
High income,Developed economy,world,Oceania,Australia,AUS,2022-05,26068792,22318568,21612293,0,706275,43930861,1685189.747,27092.73986,829048.5037,856141.2435,829048.5037,0
High income,Developed economy,world,Europe,Austria,AUT,2021-02,9043070,599399,536192,1045357,63207,2180948,241173.4068,6989.551115,59293.13828,66282.6894,59293.13828,115597.5791
High income,Developed economy,world,Europe,Austria,AUT,2021-03,9043070,1478121,813909,1067349,664212,3359379,371486.5637,73449.83507,90003.61603,163453.4511,90003.61603,118029.4966
High income,Developed economy,world,Europe,Austria,AUT,2021-04,9043070,2557386,1180982,1067411,1376404,4805779,531432.2459,152205.3904,130595.2514,282800.6418,130595.2514,118036.3527
High income,Developed economy,world,Europe,Austria,AUT,2021-05,9043070,4148512,2153467,1067484,1995045,7369463,814929.3326,220615.897,238134.5052,458750.4022,238134.5052,118044.4252
High income,Developed economy,world,Europe,Austria,AUT,2021-06,9043070,5112741,3736240,1067618,1376501,9916599,1096596.51,152216.1169,413160.5749,565376.6918,413160.5749,118059.2432
High income,Developed economy,world,Europe,Austria,AUT,2021-07,9043070,5522384,5005410,1068098,516974,11595892,1282295.946,57167.97504,553507.8242,610675.7993,553507.8242,118112.3225
High income,Developed economy,world,Europe,Austria,AUT,2021-08,9043070,5758020,5620879,1072712,137141,12451611,1376922.992,15165.31443,621567.565,636732.8794,621567.565,118622.5474
High income,Developed economy,world,Europe,Austria,AUT,2021-09,9043070,5968817,5805490,1147061,163327,12921368,1428869.621,18061.01247,641982.2029,660043.2154,641982.2029,126844.2022
High income,Developed economy,world,Europe,Austria,AUT,2021-10,9043070,6122557,5963810,1423198,158747,13509565,1493913.571,17554.54729,659489.5318,677044.0791,659489.5318,157379.9606
High income,Developed economy,world,Europe,Austria,AUT,2022-02,9066710,6299971,6114289,4910967,185682,17325227,1910861.492,20479.53447,674366.8872,694846.4217,674366.8872,541648.1833
High income,Developed economy,world,Europe,Austria,AUT,2022-03,9066710,6306774,6129134,4992343,177640,17428251,1922224.379,19592.55342,676004.1956,695596.749,676004.1956,550623.4345
High income,Developed economy,world,Europe,Austria,AUT,2022-04,9066710,6311509,6138691,5046343,172818,17496543,1929756.549,19060.71772,677058.2714,696118.9891,677058.2714,556579.2884
High income,Developed economy,world,Europe,Austria,AUT,2022-05,9066710,6313300,6144820,5118331,168480,17576451,1938569.889,18582.26413,677734.2608,696316.525,677734.2608,564519.1034
High income,Developed economy,world,Europe,Austria,AUT,2021-12,9043070,6555993,5776745,0,779248,12332738,1363777.788,86170.73627,638803.5258,724974.2621,638803.5258,0
High income,Developed economy,world,Europe,Austria,AUT,2021-11,9043070,6616448,6256595,3642597,359853,16515640,1826331.102,39793.23393,691866.2578,731659.4917,691866.2578,402805.3526
High income,Developed economy,world,Europe,Austria,AUT,2022-01,9066710,6781113,6509850,4878261,271263,18169224,2003948.952,29918.57024,717994.7302,747913.3004,717994.7302,538040.9211
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-02,10223342,414871,289856,1393554,125015,2098281,205244.1364,12228.38872,28352.37244,40580.76116,28352.37244,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-03,10223342,728617,596737,1393554,131880,2718908,265950.9972,12899.89125,58370.05159,71269.94284,58370.05159,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-04,10223342,1112921,784531,1393554,328390,3291006,321910.9759,32121.58998,76739.19155,108860.7815,76739.19155,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-05,10223342,1745827,1174944,1393554,570883,4314325,422007.3045,55841.13297,114927.5843,170768.7173,114927.5843,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-06,10223342,2479486,1687650,1393554,791836,5560690,543920.9605,77453.73284,165078.1124,242531.8453,165078.1124,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-07,10223342,3056313,2355220,1393554,701093,6805087,665642.1159,68577.67255,230376.7203,298954.3928,230376.7203,136311.0028
Middle income,Economy in transition,world,Asia,Azerbaijan,AZE,2021-08,10223342,4491826,3114048,1393554,1377778,8999428,880282.3969,134767.8675,304601.7633,439369.6308,304601.7633,136311.0028
